Patriots-10,Patriots,2010,14,1,205,0.504,0.504,2,0
Steelers-10,Steelers,2010,12,2,143,0.5,0.417,4,2
Colts-10,Colts,2010,10,3,47,0.473,0.425,1,0
Chiefs-10,Chiefs,2010,10,4,40,0.414,0.381,1,0
Ravens-10,Ravens,2010,12,5,87,0.484,0.422,2,1
Jets-10,Jets,2010,11,6,63,0.492,0.409,3,2
Falcons-10,Falcons,2010,13,1,126,0.484,0.438,2,0
Bears-10,Bears,2010,11,2,48,0.473,0.420,3,1
Eagles-10,Eagles,2010,10,3,62,0.492,0.506,1,0
Seahawks-10,Seahawks,2010,7,4,-97,0.484,0.402,2,1
Saints-10,Saints,2010,11,5,77,0.469,0.426,1,0
Packers-10,Packers,2010,10,6,148,0.52,0.475,5,4
Patriots-11,Patriots,2011,13,1,171,0.449,0.423,4,2
Ravens-11,Ravens,2011,12,2,112,0.477,0.484,3,1
Texans-11,Texans,2011,10,3,103,0.453,0.413,2,1
Broncos-11,Broncos,2011,8,4,-81,0.52,0.445,2,1
Steelers-11,Steelers,2011,12,5,98,0.492,0.411,1,0
Bengals-11,Bengals,2011,9,6,21,0.492,0.326,1,0
Packers-11,Packers,2011,15,1,201,0.457,0.458,2,0
49ers-11,49ers,2011,13,2,151,0.449,0.418,3,1
Saints-11,Saints,2011,13,3,208,0.441,0.442,2,1
Gaints-11,Giants,2011,9,4,-6,0.52,0.465,5,4
Falcons-11,Falcons,2011,10,5,52,0.48,0.375,1,0
Lions-11,Lions,2011,10,6,87,0.535,0.394,1,0
Broncos-12,Broncos,2012,13,1,192,0.457,0.385,2,0
Patriots-12,Patriots,2012,12,2,226,0.496,0.466,3,1
Texans-12,Texans,2012,12,3,85,0.496,0.432,2,1
Ravens-12,Ravens,2012,10,4,54,0.496,0.438,5,4
Colts-12,Colts,2012,11,5,-30,0.441,0.403,1,0
Bengals-12,Bengals,2012,10,6,71,0.438,0.381,1,0
Falcons-12,Falcons,2012,13,1,120,0.422,0.418,3,1
49ers-12,49ers,2012,11,2,124,0.504,0.477,4,2
Packers-12,Packers,2012,11,3,97,0.508,0.440,2,1
Redskins-12,Redskins,2012,10,4,48,0.494,0.450,1,0
Seahawks-12,Seahawks,2012,11,5,167,0.504,0.534,2,1
Vikings-12,Vikings,2012,10,6,31,0.52,0.456,1,0
Broncos-12,Broncos,2013,13,1,207,0.469,0.423,4,2
Patriots-13,Patriots,2013,12,2,106,0.473,0.427,3,1
Bengals-13,Bengals,2013,11,3,125,0.48,0.494,1,0
Colts-13,Colts,2013,11,4,55,0.484,0.449,2,1
Chiefs-13,Chiefs,2013,11,5,125,0.445,0.335,1,0
Chargers-13,Chargers,2013,9,6,48,0.496,0.549,2,1
Seahawks-13,Seahawks,2013,13,1,186,0.49,0.445,5,4
Panthers-13,Panthers,2013,12,2,125,0.494,0.451,2,0
Eagles-13,Eagles,2013,10,3,60,0.453,0.391,1,0
Packers-13,Packers,2013,8,4,-11,0.453,0.371,1,0
49ers-13,49ers,2013,12,5,134,0.494,0.414,3,2
Saints-13,Saints,2013,11,6,110,0.516,0.455,2,1
Patriots-14,Patriots,2014,12,1,155,0.514,0.487,5,3
Broncos-14,Broncos,2014,12,2,128,0.521,0.484,2,0
Steelers-14,Steelers,2014,11,3,68,0.451,0.486,1,0
Colts-14,Colts,2014,11,4,89,0.479,0.372,3,2
Bengals-14,Bengals,2014,10,5,21,0.498,0.425,1,0
Ravens-14,Ravens,2014,10,6,107,0.475,0.378,2,1
Seahawks-14,Seahawks,2014,12,1,140,0.525,0.513,4,2
Packers-14,Packers,2014,12,2,138,0.482,0.440,3,1
Cowboys-14,Cowboys,2014,12,3,115,0.445,0.422,2,1
Panthers-14,Panthers,2014,7,4,-35,0.49,0.357,2,1
Cardinals-14,Cardinals,2014,11,5,11,0.523,0.477,1,0
Lions-14,Lions,2014,11,6,39,0.471,0.392,1,0
Broncos-15,Broncos,2015,12,1,59,0.5,0.479,5,3
Patriots-15,Patriots,2015,12,2,150,0.473,0.448,3,1
Bengals-15,Bengals,2015,12,3,140,0.477,0.406,1,0
Texans-15,Texans,2015,9,4,26,0.496,0.410,1,0
Chiefs-15,Chiefs,2015,11,5,118,0.496,0.432,2,1
Steelers-15,Steelers,2015,10,6,104,0.504,0.463,2,1
Panthers-15,Panthers,2015,15,1,192,0.441,0.438,4,2
Cardinals-15,Cardinals,2015,13,2,176,0.477,0.457,3,1
Vikings-15,Vikings,2015,11,3,63,0.504,0.449,1,0
Redskins-15,Redskins,2015,9,4,9,0.465,0.403,1,0
Packers-15,Packers,2015,10,5,45,0.531,0.450,2,1
Seahawks-15,Seahawks,2015,10,6,146,0.52,0.431,2,1
Patriots-16,Patriots,2016,14,1,191,0.439,0.424,5,3
Chiefs-16,Chiefs,2016,12,2,78,0.508,0.479,2,0
Steelers-16,Steelers,2016,11,3,72,0.494,0.423,3,2
Texans-16,Texans,2016,9,4,-49,0.502,0.427,2,1
Raiders-16,Raiders,2016,12,5,31,0.504,0.443,1,0
Dolphins-16,Dolphins,2016,10,6,-17,0.455,0.341,1,0
Cowboys-16,Cowboys,2016,13,1,115,0.471,0.440,2,0
Falcons-16,Falcons,2016,11,2,134,0.48,0.452,4,2
Seahawks-16,Seahawks,2016,10,3,62,0.441,0.425,2,1
Packers-16,Packers,2016,10,4,44,0.508,0.453,3,2
Ginats-16,Giants,2016,11,5,26,0.486,0.455,1,0
Lions-16,Lions,2016,9,6,-12,0.475,0.392,1,0
Patriots-17,Patriots,2017,13,1,162,0.484,0.466,4,2
Steelers-17,Steelers,2017,13,2,98,0.453,0.423,2,0
Jaguars-17,Jaguars,2017,10,3,149,0.434,0.394,3,2
Chiefs-17,Chiefs,2017,10,4,76,0.477,0.481,1,0
Titans-17,Titans,2017,9,5,-22,0.434,0.396,2,1
Bills-17,Bills,2017,9,6,-57,0.492,0.396,1,0
Eagles-17,Eagles,2017,13,1,162,0.461,0.433,5,3
Vikings-17,Vikings,2017,13,2,130,0.492,0.447,3,1
Rams-17,Rams,2017,11,3,149,0.504,0.460,1,0
Saints-17,Saints,2017,11,4,122,0.535,0.483,2,1
Panthers-17,Panthers,2017,11,5,36,0.539,0.500,1,0
Falcons-17,Falcons,2017,10,6,38,0.543,0.475,2,1
Chiefs-18,Chiefs,2018,12,1,144,0.48,0.401,3,1
Patriots-18,Patriots,2018,11,2,111,0.482,0.494,5,3
Texans-18,Texans,2018,11,3,86,0.471,0.435,1,0
Ravens-18,Ravens,2018,10,4,102,0.496,0.450,1,0
Chargers-18,Chargers,2018,12,5,99,0.477,0.422,2,1
Colts-18,Colts,2018,10,6,89,0.465,0.456,2,1
Saints-18,Saints,2018,13,1,151,0.482,0.488,3,1
Rams-18,Rams,2018,13,2,143,0.48,0.428,4,2
Bears-18,Bears,2018,12,3,138,0.43,0.419,1,0
Cowboys-18,Cowboys,2018,10,4,15,0.488,0.444,2,1
Seahawks-19,Seahawks,2018,10,5,81,0.484,0.400,1,0
Eagles-18,Eagles,2018,9,6,19,0.518,0.486,2,1
Ravens-19,Ravens,2019,14,1,249,0.494,0.484,2,0
Chiefs-19,Chiefs,2019,12,2,143,0.51,0.477,5,3
Patriots-19,Patriots,2019,12,3,195,0.469,0.411,1,0
Texans-19,Texans,2019,10,4,-7,0.52,0.488,2,1
Bills-19,Bills,2019,10,5,55,0.461,0.363,1,0
Titans-19,Titans,2019,9,6,71,0.488,0.465,3,2
49ers-19,49ers,2019,13,1,169,0.504,0.466,4,2
Packers-19,Packers,2019,13,2,63,0.453,0.428,3,1
Saints-19,Saints,2019,13,3,117,0.486,0.459,1,0
Eagles-19,Eagles,2019,9,4,31,0.455,0.417,1,0
Seahawks-19,Seahawks,2019,11,5,7,0.531,0.463,2,1
Vikings-19,Vikings,2019,10,6,104,0.477,0.356,2,1
